nome;cpf;data_inscricao
Talita Castro Fernandes;20980130948;10/05/2025
Rafael Fernandes Campos;58030946333;26/06/2025
Bruno Castro Costa;89839546716;03/11/2025
Hugo Gomes Correia;60605215685;23/02/2025
Juliana Monteiro Ramos;53936386986;09/09/2025
Talita Alves Souza;94122949998;30/08/2025
Ingrid Martins Silva;44737882968;12/07/2025
Zélia Oliveira Cavalcanti;05870102405;29/03/2025
Hugo Vieira Dias;01163285684;12/01/2025
Gustavo Alves Ribeiro;33610706600;16/10/2025
Daniel Lima Gomes;93913404902;14/07/2025
Simone Pereira Correia;14876798907;23/04/2025
Karina Pereira Rocha;30210068094;27/01/2025
Fábio Silva Lopes;83376895520;08/08/2025
William Cardoso Pinto;31945279834;01/11/2025
Kevin Souza Freitas;11976399505;30/06/2025
Felipe Mendes Souza;42533559601;31/08/2025
José Costa Barbosa;76029401564;27/04/2025
Zélia Martins Vieira;31321007493;02/01/2025
Bianca Cardoso Ribeiro;78622691365;09/03/2025
Otávio Teixeira Ramos;83033430090;06/08/2025
Nathalia Correia Moreira;58394035477;04/01/2025
Bianca Vieira Gomes;79279780123;11/01/2025
Elisa Machado Mendes;10816055459;27/11/2025
Gabriela Dias Freitas;90962831395;28/09/2025
Sérgio Moura Rocha;71932162607;25/08/2025
Letícia Ramos Moura;61117551539;25/06/2025
Bianca Cardoso Ribeiro;78622691365;09/02/2025
Tiago Souza Santos;40807569925;21/07/2025
