nome;cpf;data_inscricao
Otávio Castro Nascimento;68488307551;22/02/2025
Elisa Fernandes Souza;33732347516;04/01/2025
Rafael Campos Rodrigues;23249789895;18/06/2025
Fábio Batista Martins;36174848248;28/04/2025
Caio Santos Almeida;49561329212;28/08/2025
Elisa Machado Mendes;10816055459;09/04/2025
Bianca Vieira Gomes;79279780123;10/05/2025
Marcelo Freitas Barros;63746514304;21/04/2025
Débora Pereira Lopes;66722668363;22/12/2025
Nathalia Pinto Cardoso;84999515202;19/10/2025
Letícia Alves Barros;23611744131;04/04/2025
Fábio Moura Vieira;87873605949;21/09/2025
Karina Santos Rocha;17442984320;02/12/2025
José Costa Barbosa;76029401564;19/09/2025
Talita Nascimento Ramos;17371263383;12/10/2025
Zélia Mendes Martins;99136428680;15/09/2025
Fábio Moura Vieira;87873605949;05/02/2025
Enzo Pinto Ribeiro;24243565996;10/04/2025
Letícia Ramos Moura;61117551539;27/10/2025
João Nunes Moura;17485938207;23/05/2025
Bruno Costa Barbosa;87371246330;01/09/2025
Rafael Vieira Almeida;68798712918;26/11/2025
Elisa Fernandes Souza;33732347516;22/04/2025
Isabela Santos Araújo;41367919762;27/02/2025
Bianca Almeida Lima;16855807348;18/02/2025
Karina Moura Fernandes;00625875362;24/07/2025
José Lopes Santos;97771995209;07/01/2025
