nome;cpf;data_inscricao
Elisa Fernandes Souza;33732347516;16/08/2025
Fábio Dias Monteiro;94556089441;13/06/2025
Tiago Fernandes Moreira;50620798378;22/05/2025
Zélia Machado Cavalcanti;33751232214;28/12/2025
Paulo Lopes Nascimento;79322401826;10/12/2025
João Farias Machado;20608542881;22/09/2025
Simone Cardoso Cavalcanti;27633856483;23/12/2025
Ana Araújo Carvalho;21137094303;09/06/2025
Caio Moura Pinto;24184652336;10/03/2025
Hugo Monteiro Batista;19565095933;23/06/2025
Nathalia Martins Farias;53800502127;13/02/2025
Wesley Oliveira Correia;94603359349;30/01/2025
Letícia Ramos Moura;61117551539;08/07/2025
Ana Moura Santos;71367124670;11/02/2025
Hugo Monteiro Oliveira;33384445406;15/10/2025
Alice Dias Cardoso;63368191918;26/04/2025
Felipe Nunes Santos;16208780462;09/02/2025
Hugo Monteiro Oliveira;33384445406;15/12/2025
Débora Pereira Lopes;66722668363;02/09/2025
Rafael Fernandes Campos;58030946333;02/07/2025
Giovana Farias Moreira;43722822300;12/12/2025
Camila Ramos Gomes;87073395770;28/05/2025
Ana Barbosa Fernandes;37356875470;14/03/2025
Vinícius Oliveira Cardoso;36060104274;12/09/2025
João Lima Pinto;00535734557;29/04/2025
Ingrid Martins Silva;44737882968;27/10/2025
Mariana Correia Souza;42169420592;09/09/2025
Ana Barbosa Fernandes;37356875470;05/10/2025
Mariana Moreira Pereira;27189419527;25/04/2025
Valentina Dias Nunes;28286165500;15/12/2025
